model_type,AUC_occ,RMSE,MAE,MedianAE,RMSLE,Spearman,BR_rate_down,BR_rate_up,BR_sev_down,BR_sev_up,model_group,rank_AUC,rank_Spear,rank_RMSE,rank_MAE,rank_MedianAE,rank_RMSLE,rank_BRrd,rank_BRru,rank_BRsd,rank_BRsu,rank_total
M4: Mixed-STAR (SAR+X) [RAW],0.8147247119078105,15.591425120010609,3.963350819762722,0.314902984665232,0.9311934016358124,0.5598846809112124,0,0.4365079365079365,0.9223354060038922,0.503155781152689,M2,5,6,10,3,2,2,1,4,10,3,46
EP_NB_QR,0.9149167733674776,15.742557883986182,3.9008368076102213,0.15401178787683292,1.0140292357405571,0.6221348743779569,0.015873015873015872,0.25,0.9679861877991477,0.34965167494063043,M0,1,2,13,1,1,11,3,1,13,1,47
M1: Mixed-ST (OLS) [RAW],0.8109475032010244,15.58111972189831,3.9771148187760157,0.32203960977522095,0.9300134653010211,0.5515065141466822,0,0.4365079365079365,0.918797718718338,0.5133724193966767,M2,6,7,8,5,4,1,1,4,8,5,49
M2: Pure-ST (OLS) [RAW],0.832202304737516,15.586287272317477,3.9955504305503116,0.3292167850023701,0.9325281560349037,0.5718277000669514,0,0.4365079365079365,0.9203093685530651,0.5270591718192698,M2,2,4,9,6,5,3,1,4,9,6,49
M3: Pure-STAR (SAR) [RAW],0.8321062740076824,15.600283725182434,3.972144859548274,0.32068682619367395,0.9339361456576158,0.575766151181791,0,0.4365079365079365,0.9241683502023683,0.5103558028155102,M2,3,3,11,4,3,5,1,4,11,4,49
M5: Res-STAR (SDM/Durbin) [RAW],0.8193341869398207,15.603487164068659,3.9515161104638006,0.33534157302697437,0.9338836171287779,0.562080062928692,0,0.43253968253968256,0.9264145678064125,0.4931032360338724,M2,4,5,12,2,6,4,1,3,12,2,51
M5: Res-STAR (SDM/Durbin) [CAL],0.8193341869398207,15.412066716037176,4.2345388475798345,0.6445408629061329,0.9432808442054517,0.562080062928692,0,0.43253968253968256,0.8803129830221742,0.6124778473814413,M2,4,5,7,7,7,6,1,3,7,7,54
EP_NB_OLS,0.9149167733674776,15.195326403471013,4.686595125813683,1.7482940231613746,1.0248058301661742,0.7134611692278077,0.003968253968253968,0.25396825396825395,0.8310445662538949,0.6760578680422787,M0,1,1,1,12,12,12,2,2,1,12,56
M4: Mixed-STAR (SAR+X) [CAL],0.8147247119078105,15.392770917120588,4.290832054486683,0.687761754895775,0.9518874961956342,0.5598846809112124,0,0.4365079365079365,0.8750676469467172,0.625457840520844,M2,5,6,5,8,8,7,1,4,4,8,56
M3: Pure-STAR (SAR) [CAL],0.8321062740076824,15.398289346494186,4.33116468665353,0.7574615918512877,0.956800158343203,0.575766151181791,0,0.4365079365079365,0.877191431763164,0.6382653609835615,M2,3,3,6,10,9,8,1,4,6,10,60
M2: Pure-ST (OLS) [CAL],0.832202304737516,15.387596576510473,4.380393308712894,0.8228329115109331,0.9659183118648629,0.5718277000669514,0,0.4365079365079365,0.8751497196562938,0.6493124251993703,M2,2,4,3,11,11,10,1,4,5,11,62
M1: Mixed-ST (OLS) [CAL],0.8109475032010244,15.387626423279892,4.321611344587174,0.7702743539365411,0.9579322286490684,0.5515065141466822,0,0.4365079365079365,0.8732520946750041,0.632577418851782,M2,6,7,4,9,10,9,1,4,3,9,62
M1_SAR_2PART,0.6526248399487836,15.334308661366377,5.218735251327499,2.34871565839218,1.203314197432488,0.25234753200560894,0,0.4365079365079365,0.8512715155824604,0.7583632149369494,M1,7,8,2,13,13,13,1,4,2,13,76
