"tau","model","AUC_occ","RMSE","MAE","MedAE","Spearman","Calib"
5,"M1_SAR_ADD_LOSS",0.652624839948784,15.6702187544212,4.06806237905811,0.530510465288938,0.254088251425462,0.136133482407626
10,"M1_SAR_ADD_LOSS",0.652624839948784,15.64141812723,4.11857586896739,0.638135028119124,0.257475703164884,0.167209679649669
15,"M1_SAR_ADD_LOSS",0.652624839948784,15.6191635909658,4.15930685308921,0.725189020672142,0.262442921414921,0.190645354333686
20,"M1_SAR_ADD_LOSS",0.652624839948784,15.6000741782879,4.19706432691962,0.801096120620371,0.265340073781192,0.211462591798794
25,"M1_SAR_ADD_LOSS",0.652624839948784,15.5848078788583,4.23126054188789,0.859031799684671,0.266245482847266,0.228811190484021
30,"M1_SAR_ADD_LOSS",0.652624839948784,15.5709194168028,4.26409696960885,0.917302003405875,0.2666367041522,0.244576775501853
35,"M1_SAR_ADD_LOSS",0.652624839948784,15.5583499921296,4.29560596306642,0.974404267346832,0.26826503066463,0.259123242804059
40,"M1_SAR_ADD_LOSS",0.652624839948784,15.5466637423752,4.32554305301104,1.02296178059373,0.269358022318355,0.272933400045138
45,"M1_SAR_ADD_LOSS",0.652624839948784,15.5364833757969,4.35233897825944,1.06648301046268,0.269653298458416,0.285187436875924
50,"M1_SAR_ADD_LOSS",0.652624839948784,15.5263496958991,4.37962700141973,1.11375278491176,0.270542651394858,0.29748915402065
