"model","AUC_occ","RMSE","MAE","MedAE","Spearman","Calib","family","source_file","version","calib_factor"
"EP_NB_OLS",0.914916773367478,15.195326403471,4.68659512581368,1.74829402316137,0.713461169227808,0.521560541456839,"M0 (Benchmark)","m0_final_perf.rds",NA,NA
"EP_NB_QR",0.914916773367478,15.7425578839862,3.90083680761022,0.154011787876833,0.622134874377957,0.0492256394936248,"M0 (Benchmark)","m0_final_perf.rds",NA,NA
"M1_SAR_2PART",0.652624839948784,15.3343086613664,5.2187352513275,2.34871565839218,0.252347532005609,0.6155043172661,"M1 (SAR 2-part)","m1_sar_perf.rds",NA,NA
"M1: Mixed-ST (OLS) [RAW]",0.810947503201024,15.5811197218983,3.97711481877602,0.322039609775221,0.551506514146682,0.166867404385349,"M2 (STAR)","m2_star_5models_perf_final.rds","RAW",NA
"M2: Pure-ST (OLS) [RAW]",0.832202304737516,15.5862872723175,3.99555043055031,0.32921678500237,0.571827700066951,0.168500215448814,"M2 (STAR)","m2_star_5models_perf_final.rds","RAW",NA
"M3: Pure-STAR (SAR) [RAW]",0.832106274007682,15.6002837251824,3.97214485954827,0.320686826193674,0.575766151181791,0.154870925111591,"M2 (STAR)","m2_star_5models_perf_final.rds","RAW",NA
"M4: Mixed-STAR (SAR+X) [RAW]",0.81472471190781,15.5914251200106,3.96335081976272,0.314902984665232,0.559884680911212,0.156315784798886,"M2 (STAR)","m2_star_5models_perf_final.rds","RAW",NA
"M5: Res-STAR (SDM/Durbin) [RAW]",0.819334186939821,15.6034871640687,3.9515161104638,0.335341573026974,0.55942849387559,0.145168478909765,"M2 (STAR)","m2_star_5models_perf_final.rds","RAW",NA
"M1: Mixed-ST (OLS) [CAL]",0.810947503201024,15.3876264232799,4.32161134458717,0.770274353936541,0.551506514146682,0.344964930915484,"M2 (STAR)","m2_star_5models_perf_final.rds","CAL",2.06729967536891
"M2: Pure-ST (OLS) [CAL]",0.832202304737516,15.3875965765105,4.38039330871289,0.822832911510933,0.571827700066951,0.356015694061649,"M2 (STAR)","m2_star_5models_perf_final.rds","CAL",2.11285008219943
"M3: Pure-STAR (SAR) [CAL]",0.832106274007682,15.3982893464942,4.33116468665353,0.757461591851288,0.575766151181791,0.339499055352729,"M2 (STAR)","m2_star_5models_perf_final.rds","CAL",2.19214197311797
"M4: Mixed-STAR (SAR+X) [CAL]",0.81472471190781,15.3927709171206,4.29083205448668,0.687761754895775,0.559884680911212,0.333560187789043,"M2 (STAR)","m2_star_5models_perf_final.rds","CAL",2.13388678704584
"M5: Res-STAR (SDM/Durbin) [CAL]",0.819334186939821,15.4120667160372,4.23453884757983,0.644540862906133,0.55942849387559,0.308852064756541,"M2 (STAR)","m2_star_5models_perf_final.rds","CAL",2.12754219838951
